"Av_EV_mortero" "Av_EV_quijote" "Barr_EP_triunfo" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EP_vieja" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EP_buscaoficios" "Salas_EP_mirones" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"que" 6.5924276169265 4.95356037151703 5.5366269165247 3.90355912743972 4.83711747285291 4.11490683229814 3.18696883852691 5.40616246498599 4.65998374424275 5.39280958721704 5.25997581620314 5.0131926121372 5.8836840914234 5.39523212045169 3.4896401308615 3.95189003436426 4.55396132252027 3.61240968975776 4.46343779677113 3.66317792578497 5.25714285714286 3.9313795568263 4.25963488843813 4.24959655728887 4.38116100766703 3.89972144846797 4.93890020366599 5.3715308863026 4.33542498573873 3.87310955367023 5.76395242451967 4.31754874651811 3.67775831873905
"de" 3.78619153674833 4.29566563467492 3.79045996592845 4.59242250287026 3.94866732477789 3.41614906832298 5.80736543909348 4.56582633053221 5.2560281766459 4.76031957390146 4.74607013301088 3.58839050131926 3.59809911744739 3.42952739439565 4.25299890948746 2.57731958762887 4.67872738615097 4.50488737781555 4.7008547008547 4.28163653663178 3.54285714285714 6.07576840600429 3.34685598377282 3.4965034965035 2.57393209200438 3.13370473537604 4.4806517311609 4.87914055505819 3.05191100969766 3.02471412762818 3.20219579139982 4.66573816155989 3.32749562171629
"y" 3.25167037861915 3.75386996904025 4.72742759795571 3.90355912743972 2.17176702862784 3.02795031055901 3.75354107648725 4.39775910364146 4.09103224058521 4.56058588548602 4.08101571946796 5.27704485488127 5.02376103190767 4.1405269761606 4.68920392584515 3.95189003436426 2.49532127261385 3.14492137696558 4.17853751187084 4.32921027592769 4.85714285714286 4.43173695496783 4.05679513184584 3.22754168908015 3.72398685651698 2.92479108635097 3.71690427698574 3.93912264995524 2.36737022247576 3.3935817041682 3.29368709972553 3.55153203342618 3.50262697022767
"la" 1.46993318485523 2.05108359133127 1.81005110732538 1.37772675086108 1.77690029615005 1.5527950310559 0.991501416430595 2.3249299719888 2.24871308588458 2.49667110519308 2.08585247883918 2.45382585751979 2.87395338311835 1.67294019238812 3.12613595056343 1.71821305841924 1.621958827199 1.48746281342966 1.75688509021842 2.99714557564225 1.88571428571429 3.00214438884918 2.83975659229209 4.14201183431953 2.08105147864184 2.29805013927577 2.64765784114053 2.95434198746643 1.42612664004564 1.54924382146809 2.37877401646844 1.67130919220056 2.36427320490368
"el" 2.49443207126949 2.36068111455108 1.51192504258944 1.03329506314581 1.57946692991116 3.57142857142857 2.47875354107649 1.96078431372549 1.59848279599025 1.69773635153129 2.62998790810157 1.50395778364116 1.42566191446029 2.00752823086575 2.83533260632497 1.28865979381443 1.93387398627573 3.05992350191245 2.04178537511871 2.28353948620362 2.45714285714286 1.92994996426019 2.53549695740365 2.7972027972028 1.91675794085433 1.74094707520891 1.60386965376782 2.37242614145031 2.53850541928123 2.61895979343416 1.73833485818847 1.74094707520891 2.18914185639229
"a" 1.33630289532294 3.01857585139319 2.17206132879046 0.918484500574053 1.38203356367226 1.24223602484472 2.12464589235127 1.9327731092437 2.57382823083175 2.29693741677763 1.69286577992745 1.71503957783641 2.26295541977823 2.30029276453367 1.89022173754998 1.80412371134021 1.99625701809108 1.82745431364216 1.42450142450142 2.04567078972407 2 2.07290922087205 2.23123732251521 2.42065626681011 1.80722891566265 1.53203342618384 2.08757637474542 1.7905102954342 1.7969195664575 2.10254518627813 0.731930466605673 2.29805013927577 2.01401050788091
"en" 1.73719376391982 1.39318885448916 1.6396933560477 2.18140068886338 1.8756169792695 2.25155279503106 1.98300283286119 2.43697478991597 1.51720400975345 2.0306258322237 1.60217654171705 1.87335092348285 1.85562344421815 1.96570472605604 2.43547800799709 1.54639175257732 1.87149095446039 2.71993200169996 1.85185185185185 2.04567078972407 1.6 1.21515368120086 1.62271805273834 1.55997848305541 1.42387732749179 1.74094707520891 2.03665987780041 2.59623992837959 1.96805476326298 2.21320545924013 1.46386093321135 1.6016713091922 1.75131348511384
"no" 1.51447661469933 1.27708978328173 2.51277683134583 2.06659012629162 3.5538005923001 1.47515527950311 1.55807365439093 2.26890756302521 2.0319696559198 2.13049267643142 2.14631197097944 2.21635883905013 1.71984611903146 1.96570472605604 1.4903671392221 1.97594501718213 2.30817217716781 2.3374415639609 1.85185185185185 2.04567078972407 1.6 1.57255182273052 1.01419878296146 1.29101667563206 1.36911281489595 2.36768802228412 1.29837067209776 1.11906893464637 2.08214489446663 1.80745112504611 2.37877401646844 0.835654596100279 2.62697022767075
"es" 1.55902004454343 1.08359133126935 1.32027257240204 0.803673938002296 2.27048371174729 0.77639751552795 1.55807365439093 0.672268907563025 0.866973719859117 0.699067909454061 1.02781136638452 0.79155672823219 1.33514369766916 1.12923462986198 0.981461286804798 1.28865979381443 1.49719276356831 1.06247343816405 1.661918328585 1.52235965746908 1.02857142857143 0.786275911365261 1.3184584178499 1.29101667563206 0.930996714129244 1.6016713091922 1.37474541751527 0.805729632945389 1.62578436965203 1.43858354850609 2.19579139981702 2.36768802228412 1.0507880910683
"con" 1.15812917594655 1.23839009287926 1.2350936967632 0.803673938002296 1.77690029615005 1.24223602484472 1.48725212464589 0.92436974789916 1.24627472229748 1.39813581890812 0.544135429262394 1.39841688654354 0.973070830504639 0.627352572145546 0.763358778625954 0.77319587628866 0.374298190892077 1.23246918827029 1.04463437796771 0.808753568030447 0.685714285714286 1.35811293781272 1.11561866125761 1.23722431414739 1.69769989047097 1.74094707520891 1.88391038696538 1.61145926589078 1.16942384483742 0.922168941350055 0.731930466605673 0.696378830083565 0.612959719789842
"me" 1.42538975501114 0.580495356037152 0.766609880749574 1.14810562571757 0.592300098716683 1.00931677018634 0.495750708215297 1.06442577030812 1.40883229477106 1.16511318242344 1.02781136638452 1.37203166226913 1.51618013125141 0.96194061062317 0.799709196655762 0.77319587628866 0.686213349968808 0.679983000424989 0.379867046533713 0.380589914367269 1.37142857142857 0.786275911365261 1.01419878296146 0.968262506724045 1.86199342825849 1.04456824512535 1.09470468431772 0.402864816472695 1.28351397604107 1.18037624492807 0.823421774931381 1.18384401114206 1.13835376532399
"por" 1.15812917594655 1.58668730650155 0.638841567291312 0.68886337543054 1.48075024679171 0.388198757763975 1.13314447592068 0.980392156862745 1.38173936602547 1.36484687083888 1.17896009673519 1.21372031662269 0.769404842724598 1.00376411543287 0.872410032715376 0.77319587628866 0.748596381784155 0.679983000424989 0.617283950617284 1.04662226450999 0.571428571428571 0.786275911365261 0.811359026369168 0.753093060785369 0.711938663745893 0.696378830083565 1.06924643584521 1.02954341987466 1.16942384483742 1.10660272962007 0.548947849954254 0.626740947075209 1.57618213660245
