"Av_EV_mortero" "Av_EV_quijote" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"que" 6.5924276169265 4.95356037151703 3.90355912743972 4.83711747285291 4.11490683229814 3.18696883852691 5.39523212045169 3.4896401308615 3.95189003436426 4.55396132252027 3.61240968975776 4.46343779677113 5.25714285714286 3.9313795568263 4.25963488843813 4.24959655728887 4.38116100766703 3.89972144846797 4.33542498573873 3.87310955367023 5.76395242451967 4.31754874651811 3.67775831873905
"de" 3.78619153674833 4.29566563467492 4.59242250287026 3.94866732477789 3.41614906832298 5.80736543909348 3.42952739439565 4.25299890948746 2.57731958762887 4.67872738615097 4.50488737781555 4.7008547008547 3.54285714285714 6.07576840600429 3.34685598377282 3.4965034965035 2.57393209200438 3.13370473537604 3.05191100969766 3.02471412762818 3.20219579139982 4.66573816155989 3.32749562171629
"y" 3.25167037861915 3.75386996904025 3.90355912743972 2.17176702862784 3.02795031055901 3.75354107648725 4.1405269761606 4.68920392584515 3.95189003436426 2.49532127261385 3.14492137696558 4.17853751187084 4.85714285714286 4.43173695496783 4.05679513184584 3.22754168908015 3.72398685651698 2.92479108635097 2.36737022247576 3.3935817041682 3.29368709972553 3.55153203342618 3.50262697022767
"el" 2.49443207126949 2.36068111455108 1.03329506314581 1.57946692991116 3.57142857142857 2.47875354107649 2.00752823086575 2.83533260632497 1.28865979381443 1.93387398627573 3.05992350191245 2.04178537511871 2.45714285714286 1.92994996426019 2.53549695740365 2.7972027972028 1.91675794085433 1.74094707520891 2.53850541928123 2.61895979343416 1.73833485818847 1.74094707520891 2.18914185639229
"la" 1.46993318485523 2.05108359133127 1.37772675086108 1.77690029615005 1.5527950310559 0.991501416430595 1.67294019238812 3.12613595056343 1.71821305841924 1.621958827199 1.48746281342966 1.75688509021842 1.88571428571429 3.00214438884918 2.83975659229209 4.14201183431953 2.08105147864184 2.29805013927577 1.42612664004564 1.54924382146809 2.37877401646844 1.67130919220056 2.36427320490368
"a" 1.33630289532294 3.01857585139319 0.918484500574053 1.38203356367226 1.24223602484472 2.12464589235127 2.30029276453367 1.89022173754998 1.80412371134021 1.99625701809108 1.82745431364216 1.42450142450142 2 2.07290922087205 2.23123732251521 2.42065626681011 1.80722891566265 1.53203342618384 1.7969195664575 2.10254518627813 0.731930466605673 2.29805013927577 2.01401050788091
"en" 1.73719376391982 1.39318885448916 2.18140068886338 1.8756169792695 2.25155279503106 1.98300283286119 1.96570472605604 2.43547800799709 1.54639175257732 1.87149095446039 2.71993200169996 1.85185185185185 1.6 1.21515368120086 1.62271805273834 1.55997848305541 1.42387732749179 1.74094707520891 1.96805476326298 2.21320545924013 1.46386093321135 1.6016713091922 1.75131348511384
"no" 1.51447661469933 1.27708978328173 2.06659012629162 3.5538005923001 1.47515527950311 1.55807365439093 1.96570472605604 1.4903671392221 1.97594501718213 2.30817217716781 2.3374415639609 1.85185185185185 1.6 1.57255182273052 1.01419878296146 1.29101667563206 1.36911281489595 2.36768802228412 2.08214489446663 1.80745112504611 2.37877401646844 0.835654596100279 2.62697022767075
"es" 1.55902004454343 1.08359133126935 0.803673938002296 2.27048371174729 0.77639751552795 1.55807365439093 1.12923462986198 0.981461286804798 1.28865979381443 1.49719276356831 1.06247343816405 1.661918328585 1.02857142857143 0.786275911365261 1.3184584178499 1.29101667563206 0.930996714129244 1.6016713091922 1.62578436965203 1.43858354850609 2.19579139981702 2.36768802228412 1.0507880910683
"con" 1.15812917594655 1.23839009287926 0.803673938002296 1.77690029615005 1.24223602484472 1.48725212464589 0.627352572145546 0.763358778625954 0.77319587628866 0.374298190892077 1.23246918827029 1.04463437796771 0.685714285714286 1.35811293781272 1.11561866125761 1.23722431414739 1.69769989047097 1.74094707520891 1.16942384483742 0.922168941350055 0.731930466605673 0.696378830083565 0.612959719789842
