Source,Target,Weight,Type
Cerv_EP_cueva,Cerv_EP_guarda,18,undirected
Cerv_EP_cueva,Cerv_EP_juez,7,undirected
Cerv_EP_cueva,Cerv_EP_retablo,6,undirected
Cerv_EP_cueva,Cerv_EP_viejo,3,undirected
Cerv_EP_cueva,Cerv_EP_vizcaino,15,undirected
Cerv_EP_cueva,Cerv_EV_eleccion,3,undirected
Cerv_EP_cueva,Dub_EV_romances_R,9,undirected
Cerv_EP_guarda,Cerv_EP_cueva,18,undirected
Cerv_EP_guarda,Cerv_EP_juez,15,undirected
Cerv_EP_guarda,Cerv_EP_vizcaino,8,undirected
Cerv_EP_guarda,Cerv_EV_rufian,9,undirected
Cerv_EP_juez,Cerv_EP_cueva,7,undirected
Cerv_EP_juez,Cerv_EP_guarda,15,undirected
Cerv_EP_juez,Cerv_EP_retablo,3,undirected
Cerv_EP_juez,Cerv_EP_viejo,12,undirected
Cerv_EP_juez,Cerv_EV_rufian,3,undirected
Cerv_EP_retablo,Cerv_EP_cueva,6,undirected
Cerv_EP_retablo,Cerv_EP_juez,3,undirected
Cerv_EP_retablo,Cerv_EV_eleccion,18,undirected
Cerv_EP_viejo,Cerv_EP_cueva,3,undirected
Cerv_EP_viejo,Cerv_EP_juez,12,undirected
Cerv_EP_viejo,Cerv_EP_vizcaino,12,undirected
Cerv_EP_vizcaino,Cerv_EP_cueva,15,undirected
Cerv_EP_vizcaino,Cerv_EP_guarda,8,undirected
Cerv_EP_vizcaino,Cerv_EP_viejo,12,undirected
Cerv_EV_eleccion,Cerv_EP_cueva,3,undirected
Cerv_EV_eleccion,Cerv_EP_retablo,18,undirected
Cerv_EV_eleccion,Cerv_EV_rufian,12,undirected
Cerv_EV_eleccion,Dub_EV_romances_R,3,undirected
Cerv_EV_rufian,Cerv_EP_guarda,9,undirected
Cerv_EV_rufian,Cerv_EP_juez,3,undirected
Cerv_EV_rufian,Cerv_EV_eleccion,12,undirected
Cerv_EV_rufian,Dub_EV_romances_R,6,undirected
Dub_EV_romances_R,Cerv_EP_cueva,9,undirected
Dub_EV_romances_R,Cerv_EV_eleccion,3,undirected
Dub_EV_romances_R,Cerv_EV_rufian,6,undirected
