"Barr_EP_triunfo" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian"
"que" 5.5366269165247 5.40616246498599 4.65998374424275 5.39280958721704 5.25997581620314 5.0131926121372 5.8836840914234 5.39523212045169 3.4896401308615
"y" 4.72742759795571 4.39775910364146 4.09103224058521 4.56058588548602 4.08101571946796 5.27704485488127 5.02376103190767 4.1405269761606 4.68920392584515
"de" 3.79045996592845 4.56582633053221 5.2560281766459 4.76031957390146 4.74607013301088 3.58839050131926 3.59809911744739 3.42952739439565 4.25299890948746
"la" 1.81005110732538 2.3249299719888 2.24871308588458 2.49667110519308 2.08585247883918 2.45382585751979 2.87395338311835 1.67294019238812 3.12613595056343
"a" 2.17206132879046 1.9327731092437 2.57382823083175 2.29693741677763 1.69286577992745 1.71503957783641 2.26295541977823 2.30029276453367 1.89022173754998
"no" 2.51277683134583 2.26890756302521 2.0319696559198 2.13049267643142 2.14631197097944 2.21635883905013 1.71984611903146 1.96570472605604 1.4903671392221
"en" 1.6396933560477 2.43697478991597 1.51720400975345 2.0306258322237 1.60217654171705 1.87335092348285 1.85562344421815 1.96570472605604 2.43547800799709
"el" 1.51192504258944 1.96078431372549 1.59848279599025 1.69773635153129 2.62998790810157 1.50395778364116 1.42566191446029 2.00752823086575 2.83533260632497
"me" 0.766609880749574 1.06442577030812 1.40883229477106 1.16511318242344 1.02781136638452 1.37203166226913 1.51618013125141 0.96194061062317 0.799709196655762
"se" 1.40545144804089 1.06442577030812 0.650230289894338 0.732356857523302 1.14873035066505 1.21372031662269 1.17673681828468 1.63111668757842 0.763358778625954
"con" 1.2350936967632 0.92436974789916 1.24627472229748 1.39813581890812 0.544135429262394 1.39841688654354 0.973070830504639 0.627352572145546 0.763358778625954
"por" 0.638841567291312 0.980392156862745 1.38173936602547 1.36484687083888 1.17896009673519 1.21372031662269 0.769404842724598 1.00376411543287 0.872410032715376
"yo" 1.08603066439523 1.42857142857143 0.812787862367922 0.765645805592543 0.846432889963724 1.2664907651715 1.06358904729577 0.96194061062317 0.836059614685569
"es" 1.32027257240204 0.672268907563025 0.866973719859117 0.699067909454061 1.02781136638452 0.79155672823219 1.33514369766916 1.12923462986198 0.981461286804798
"las" 0.936967632027257 0.784313725490196 0.596044432403143 0.832223701731025 1.05804111245466 1.37203166226913 0.746775288526816 0.585529067335843 1.01781170483461
"los" 0.851788756388416 1.06442577030812 0.650230289894338 0.965379494007989 1.14873035066505 0.659630606860158 0.656257071735687 1.25470514429109 0.908760450745184
"lo" 1.10732538330494 0.952380952380952 0.839880791113519 0.66577896138482 0.755743651753325 0.659630606860158 0.859923059515728 0.752823086574655 0.581606688476917
"merced" 2.55536626916525 0.224089635854342 0.677323218639935 0.466045272969374 0.272067714631197 0.316622691292876 1.17673681828468 0 0.0363504180298073
"mi" 0.489778534923339 1.12044817927171 1.11081007856949 0.466045272969374 0.423216444981862 0.976253298153034 0.814663951120163 0.54370556252614 0.836059614685569
"un" 0.979557069846678 0.532212885154062 0.975345434841506 0.66577896138482 0.332527206771463 0.633245382585752 0.610997963340122 0.836470096194061 0.981461286804798
"vuesa" 2.40630323679727 0.196078431372549 0.650230289894338 0.432756324900133 0.272067714631197 0.263852242744063 1.13147770988912 0 0.0363504180298073
"si" 0.638841567291312 0.868347338935574 0.352208073692766 0.765645805592543 0.544135429262394 0.79155672823219 0.724145734329034 0.710999581764952 0.436205016357688
"qué" 0.809199318568995 0.448179271708683 0.62313736114874 0.466045272969374 0.513905683192261 0.712401055408971 0.769404842724598 0.501882057716437 0.69065794256634
"le" 0.979557069846678 0.532212885154062 0.541858574911948 0.466045272969374 0.332527206771463 0.738786279683377 0.859923059515728 0.334588038477624 0.508905852417303
"más" 0.511073253833049 0.672268907563025 0.433486859929558 0.66577896138482 0.423216444981862 0.870712401055409 0.656257071735687 0.627352572145546 0.727008360596147
"señor" 1.21379897785349 0.364145658263305 0.406393931183961 0.565912117177097 1.02781136638452 0.448548812664908 0.656257071735687 0.334588038477624 0.145401672119229
"para" 0.851788756388416 0.532212885154062 0.62313736114874 0.499334221038615 0.453446191051995 0.316622691292876 0.58836840914234 0.794646591384358 0.290803344238459
"como" 0.319420783645656 0.560224089635854 0.62313736114874 0.699067909454061 0.574365175332527 0.422163588390501 0.520479746548993 0.54370556252614 0.581606688476917
"ha" 0.511073253833049 0.364145658263305 0.62313736114874 0.299600532623169 0.483675937122128 0.422163588390501 0.792034396922381 0.54370556252614 0.254452926208651
"pues" 0.660136286201022 0.504201680672269 0.677323218639935 0.366178428761651 0.423216444981862 0.29023746701847 0.226295541977823 0.710999581764952 0.327153762268266
"su" 0.404599659284497 0.252100840336134 0.460579788675156 0.798934753661784 0.362756952841596 0.395778364116095 0.452591083955646 0.376411543287327 0.581606688476917
"una" 0.724020442930153 0.364145658263305 0.379301002438364 0.565912117177097 0.30229746070133 0.343007915567282 0.384702421362299 0.334588038477624 0.472555434387495
"del" 0.255536626916525 0.420168067226891 0.216743429964779 0.399467376830892 0.876662636033857 0.316622691292876 0.362072867164517 0.501882057716437 0.218102508178844
"al" 0.425894378194208 0.30812324929972 0.216743429964779 0.199733688415446 0.362756952841596 0.343007915567282 0.497850192351211 0.334588038477624 0.581606688476917
"señora" 0.340715502555366 0.280112044817927 0.325115144947169 0.399467376830892 0.181378476420798 0.817941952506596 0.520479746548993 0 0
"bien" 0.212947189097104 0.364145658263305 0.298022216201571 0.299600532623169 0.272067714631197 0.29023746701847 0.316813758768952 0.627352572145546 0.327153762268266
"dios" 0.362010221465077 0.224089635854342 0.216743429964779 0.266311584553928 0.483675937122128 0.316622691292876 0.271554650373388 0.418235048097031 0.363504180298073
"ni" 0.255536626916525 0.196078431372549 0.243836358710377 0.565912117177097 0.090689238210399 0.686015831134565 0.248925096175605 0.460058552906734 0.181752090149037
"porque" 0.362010221465077 0.224089635854342 0.433486859929558 0.66577896138482 0.30229746070133 0.343007915567282 0.226295541977823 0.125470514429109 0.145401672119229
